id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan
1,(1ده عبدالله شمس الدینی)سنجدو,0,,31,60,711,2014
2,(اسلامیه),0,,10,280,266,1150
3,]چشمه گز,0,,11,67,48,1021
4,/باتمانقلنج علیا/باش باتمانقلنج,0,,1,427,1036,60
5,/سهیلان / سمیلان,0,,29,209,285,1232
6,/شرکت تولیدی جبال بافق /,0,,31,60,711,2265
7,/عباس قشلاقی /نوری کندی,0,,3,382,568,109
8,/قشلاق مقدم شابنده /قشلاق شاه بنده,0,,1,150,520,2113
9,/محموداباد/نوری کندی,0,,3,382,568,109
10,13آبان(چاه نیازمحمد),0,,16,253,981,1489
11,1چهل نفره شهیداکبری,0,,31,22,710,2275
12,2چاه قادری,0,,31,22,710,2275
13,2چاه کوثر1معروف به حبیب شاکر,0,,31,22,710,2275
14,3چاه تعاونی 19احمدمحمدی احمدابادی,0,,31,22,710,2275
15,آیینه ده,0,,25,210,419,697
16,آب  دلواد,0,,15,237,334,2554
17,آب اژدون,0,,13,177,337,1399
18,آب اژدون شهی مرده,0,,13,177,337,1399
19,آب امیری,0,,13,93,139,563
20,آب انار,0,,13,46,42,2247
21,آب انار,0,,13,45,4,12
22,آب انار سیدنظر حسینی,0,,13,177,393,95
23,آب انارک,0,,13,58,841,2533
24,آب انارک,0,,17,170,858,309
25,آب اناری,0,,13,177,337,2262
26,آب اناری,0,,13,381,530,571
27,آب اناری,0,,26,41,306,1294
28,آب اناری کهزاد,0,,13,381,530,571
29,آب انبار,0,,30,429,381,1570
30,آب انبار,0,,31,22,223,1182
31,آب انبار,0,,31,396,713,2407
32,آب انبار بالا,0,,13,46,42,820
33,آب انبار بنیاد مسکن,0,,31,22,223,1284
34,آب انبار پایین,0,,13,46,42,820
35,آب انبار ثقفی,0,,31,22,710,2275
36,آب انبار رودخانه دارین,0,,10,280,776,2339
37,آب انبار ریز آب,0,,31,22,223,1182
38,آب انبار غدیر اژدر,0,,31,401,1032,2454
39,آب انبار مرتع سه چاهون,0,,31,90,9,41
40,آب انبار میرها,0,,31,22,223,1284
41,آب انجیرک سفلی,0,,13,381,839,689
42,آب انجیرک علیا,0,,13,381,839,689
43,آب بادام,0,,13,45,4,12
44,آب باددو,0,,17,319,873,2264
45,آب باران دو,0,,13,12,177,2
46,آب باران یک,0,,13,12,177,2
47,آب باره,0,,20,192,673,786
48,آب باریک,0,,13,381,839,690
49,آب باریک,0,,30,91,921,11
50,آب باریک,0,,30,202,922,1191
51,آب باریک,0,,18,86,749,1311
52,آب باریک,0,,20,96,668,1484
53,آب باریک,0,,20,311,671,522
54,آب باریک,0,,20,311,204,776
55,آب باریک,0,,20,192,673,1790
56,آب باریک,0,,20,188,676,877
57,آب باریک / میر,0,,26,341,506,1320
58,آب باریک بالا,0,,26,243,435,1768
59,آب باریک پایین,0,,26,243,435,1768
60,آب باریکو,0,,17,361,864,843
61,آب باریکی,1,6033,26,341,931,2025
62,آب بخشان,0,,28,259,330,2254
63,آب برچینه,0,,15,6,512,1744
64,آب برین,0,,16,420,13,711
65,آب بویی,0,,7,120,697,288
66,آب بهار دو,0,,13,381,839,689
67,آب بهار یک,0,,13,381,839,689
68,آب بید,0,,13,46,42,1878
69,آب بید,0,,13,46,42,2247
70,آب بید,0,,13,93,139,563
71,آب بید,0,,13,381,530,575
72,آب بید,0,,13,362,207,613
73,آب بید,0,,13,362,207,799
74,آب بید,0,,13,45,4,2013
75,آب بید,0,,13,45,847,1555
76,آب بید,0,,26,186,930,1091
77,آب بید انجیر سیاه,0,,23,348,693,2234
78,آب بید پیرشمس,0,,17,203,353,1201
79,آب بید حاجی بابا,0,,13,347,846,2074
80,آب بید گردکانه,0,,26,106,933,2409
81,آب بید1,0,,21,134,623,135
82,آب بیدعلی باز,0,,13,347,846,2074
83,آب بیدگله بادی,0,,13,45,4,12
84,آب بیدگله توک,0,,13,45,847,1845
85,آب پایین,0,,28,183,783,1088
86,آب پونه,0,,4,123,903,1209
87,آب تاریکان پایین,0,,29,209,285,1232
88,آب تر(موتورانوربلوچزهی),0,,16,148,659,503
89,آب توصله,0,,13,347,846,2074
90,آب جاز,0,,13,177,337,1399
91,آب جاز,0,,13,45,847,1555
92,آب جازک,0,,13,177,393,1587
93,آب جازی,0,,13,50,830,884
94,آب جهان,1,5082,17,170,858,309
95,آب چنار,0,,13,50,830,879
96,آب چنار,0,,13,45,191,743
97,آب چنار,0,,17,304,862,621
98,آب چنار,0,,26,153,928,1887
99,آب چندار,0,,13,45,4,12
100,آب چندار,0,,13,45,4,2013
101,آب چندار,0,,13,45,191,2217
102,آب چوییه,0,,4,37,500,592
103,آب چهرو,0,,13,45,4,12
104,آب چیتک,0,,13,177,393,1587
105,آب حاجت چهار بیشه,0,,23,348,693,2234
106,آب حمام,0,,13,381,530,571
107,آب حمام امیرالمومنین,0,,13,381,530,571
108,آب خارک,0,,4,37,500,623
109,آب خرزهره,0,,13,50,830,526
110,آب خرزهره,0,,13,93,139,563
111,آب خرزهره,0,,13,45,847,1555
112,آب خوگان,0,,13,50,830,879
113,آب دره,0,,13,45,847,1845
114,آب دره تازه,0,,13,177,393,1025
115,آب دلو,0,,13,58,841,1841
116,آب دوزک,0,,16,217,1035,2465
117,آب دیفه,0,,13,177,393,1587
118,آب راک دو,0,,13,50,830,879
119,آب راک یک,0,,13,50,830,879
120,آب راه,0,,13,50,260,1078
121,آب رحمت,0,,26,41,306,1293
122,آب رزک,0,,13,45,847,1845
123,آب زالو,0,,13,50,830,2291
124,آب زالو بهرام,0,,13,381,420,1704
125,آب زالو عرب,0,,13,381,420,1704
126,آب زالوییه,0,,29,145,726,999
127,آب زنی,0,,23,348,693,2234
128,آب زهره,0,,13,46,42,820
129,آب زهله انارکی,0,,13,46,42,1878
130,آب زهلی,0,,13,50,830,526
131,آب زهلی,0,,13,45,4,2013
132,آب سبز,0,,7,180,462,738
133,آب سرخ,0,,22,124,824,904
134,آب سفیداب,0,,4,322,894,2035
135,آب سنج,0,,17,304,862,91
136,آب سوراخ,0,,13,50,260,1120
137,آب سوراخ,0,,13,177,337,1399
138,آب سیلا,0,,13,177,393,1025
139,آب ‌شباندر,0,,26,153,117,1352
140,آب شوره,0,,13,46,42,820
141,آب شیرین,0,,4,322,894,2398
142,آب شیرین قره آغاج,0,,17,319,40,1254
143,آب علی,0,,16,51,657,850
144,آب قلعه,0,,13,45,4,12
145,آب قنات,0,,13,45,4,2013
146,آب کُت,0,,26,153,295,1160
147,آب کک,0,,4,187,905,2565
148,آب کنار,1,3667,25,79,574,780
149,آب کنار,0,,13,93,139,563
150,آب کنار,0,,13,177,393,1587
151,آب کولک,0,,13,45,4,2013
152,آب گازرون,0,,23,95,695,425
153,آب گرازی,0,,13,58,841,1841
154,آب گردین,0,,16,301,913,2303
155,آب گرم,0,,28,374,786,293
156,آب گرم,0,,17,170,858,309
157,آب گرم,0,,29,403,350,1454
158,آب گرمک,0,,13,177,393,1496
159,آب گرمک بالا,0,,26,41,267,539
160,آب گرمک‌پایین,0,,26,41,267,539
161,آب گرمو,0,,7,179,26,112
162,آب گرمه,0,,13,381,420,1704
163,آب گرمه,0,,13,362,843,1062
164,آب گرمه,0,,26,341,931,2026
165,آب گل,0,,13,58,841,1841
166,آب گنجشکی,0,,13,50,260,1078
167,آب گندو,0,,13,58,841,2533
168,آب لشکر سفلی,0,,13,58,841,1234
169,آب لشکر علیا,0,,13,58,841,1234
170,آب لشکر وسطی,0,,13,58,841,1234
171,آب مارو,0,,17,388,866,373
172,آب مارو,0,,7,179,26,112
173,آب مارون,0,,13,177,337,1399
174,آب مایک گلزاری,0,,13,362,843,1062
175,آب مرغان,0,,31,60,711,2265
176,آب مژگان,0,,13,45,4,12
177,آب مشکین,1,5949,30,325,397,2376
178,آب معدنی پودنا,0,,28,183,783,678
179,آب معدنی سپیدان,0,,17,229,859,946
180,آب معدنی ستاره سپیدان,0,,17,229,1063,1415
181,آب معدنی شش پیر,0,,17,229,859,1546
182,آب معدنی گوارا مکران,0,,16,51,657,850
183,آب ملک,0,,13,362,207,613
184,آب موکو,0,,17,133,365,513
185,آب میخک,0,,7,179,698,991
186,آب مید,0,,13,177,393,1587
187,آب میشان,0,,13,46,42,2247
188,آب نارو,0,,23,95,695,425
189,آب نرگسی,0,,13,381,530,571
190,آب نگون,0,,13,46,42,2247
191,آب نیک,0,,13,50,355,1470
192,آب نیک,0,,13,362,207,799
193,آب نیلو,0,,7,180,387,1564
194,آب هرزهله,0,,13,177,337,1399
195,آباد گیشکی,0,,21,193,1065,669
196,آبادان,0,,4,167,907,442
197,آبادان تپه,1,3338,24,359,759,51
198,آبادان(گرگ خوشاپ),0,,16,233,329,1411
199,آبادچی,0,,4,136,904,1905
200,آبادسلیمان,0,,4,37,886,330
201,آبادگران رهساز پرشیا,0,,13,83,98,402
202,آباده,0,,27,131,542,2195
203,آباده,0,,16,231,91,1946
204,آباده طشک,0,,17,417,2,8
205,آبادی آبگرم کوار,1,6523,17,338,881,1742
206,آبادی مجید,0,,13,267,386,1554
207,آبارا باشی,0,,2,138,617,709
208,آبانبار چاه کبکی,0,,31,434,294,187
209,آب‌باریک بالا,0,,26,41,76,334
210,آب‌باریک‌ پایین,0,,26,41,76,334
211,آبپای ارغوان,0,,7,179,103,506
212,آبتاف,0,,26,153,928,1180
213,آبجدان ابندر,0,,13,45,847,1845
214,آبچالکی,0,,25,368,581,1149
215,آبخوره,0,,2,108,605,2349
216,آبخوره,0,,18,86,251,1064
217,آبخوری,0,,15,246,706,867
218,آبدان,0,,17,133,857,648
219,آبدر,0,,26,69,927,1605
220,آبدره,0,,18,15,953,826
221,آبدنگسر,0,,25,368,39,2190
222,آبدوچال,0,,25,212,272,155
223,آبرسانی آب و برق,0,,13,178,835,881
224,آبرود,0,,25,302,335,1394
225,آبرومند,1,5932,30,91,921,11
226,آبریزک,0,,13,50,830,2291
227,آبریزک,0,,13,58,841,2533
228,آبریزکی,0,,13,50,830,2291
229,آبریزکی,0,,13,45,4,2013
230,آبژدان,0,,13,197,15,78
231,آبژدان سفلی,0,,13,197,15,78
232,آبژدان ملمولیل,0,,13,45,4,12
233,آبسر,0,,16,253,1066,2000
234,آبشار,0,,13,197,287,630
235,آبشور,0,,29,80,720,1488
236,آبشیب,0,,17,170,858,2551
237,آبشیرینک,0,,13,58,841,2533
238,آبشینه,1,5955,30,429,918,1461
239,آبطویل,1,6607,7,87,696,859
240,آبقه,1,5405,11,111,638,1917
241,آبک زیری حاج ده محمد,0,,16,402,544,2191
242,آبک زیری حاجی علی,0,,16,402,544,2191
243,آبکبود,0,,13,45,191,2217
244,آبکبود سفلی,0,,13,45,191,2217
245,آبکبود وسطی,0,,13,45,191,2217
246,آبکش,0,,7,190,78,17
247,آبکلایه 1,0,,9,365,286,1087
248,آبکلایه 2,0,,9,365,286,1087
249,آبکلو,0,,18,110,408,1086
250,آبکویه,0,,17,170,171,1815
251,آبگاه,0,,13,267,838,1591
252,آبگاه,0,,16,420,663,2582
253,آبگاه وانان,0,,16,420,663,2582
254,آبگرم,0,,27,14,546,305
255,آبگرم,0,,2,245,606,1995
256,آبگرم,0,,21,134,153,2304
257,آبگرم,0,,4,37,500,1295
258,آبگرم,0,,4,123,476,1937
259,آبگرم,0,,4,167,907,2452
260,آبگرم,0,,15,237,334,2554
261,آبگرم تدروییه,0,,29,72,727,2162
262,آبگرم(چاه آبگرم),0,,16,51,81,356
263,آبگرم1,0,,21,134,153,2304
264,آبگرمک,0,,13,58,1022,1413
265,آبگرمک,0,,13,362,207,613
266,آبگرمک,0,,13,45,191,743
267,آبگرمک,0,,7,129,704,2010
268,آبگرمک سفلی,0,,13,267,838,1392
269,آبگرمک علیا,0,,13,267,838,1392
270,آبگرمک علیا,0,,13,267,838,1591
271,آب‌گرمک‌بالا,0,,26,41,306,2260
272,آب‌گرمک‌پایین,0,,26,41,306,2260
273,آبگرمو1,0,,21,75,80,1217
274,آبگرمو2,0,,21,75,80,1217
275,آبگلمان,0,,29,80,135,1562
276,آبگنجی,0,,13,267,838,1591
277,آبگون,0,,13,46,42,1878
278,آبگیشان,0,,16,420,663,2281
279,آبلس,0,,2,108,605,528
280,آبمعدنی زاگرس,0,,17,229,859,946
281,آبنما,0,,29,209,725,7
282,آبنیک گهرد,0,,21,254,90,379
283,آبویار,0,,25,206,124,1146
284,آبهندو,0,,30,429,918,2153
285,آبید,0,,13,50,355,1469
286,آبید,0,,13,177,337,1399
287,آبید,0,,13,58,1022,1413
288,آبیدسری یک,0,,13,177,393,1587
289,آبیدشت,0,,13,381,839,690
290,آبیدلطفعلی,0,,13,177,337,1399
291,آبیک سفلی,0,,18,4,752,1314
292,آبیک علیا,0,,18,4,752,1314
293,آپارنگ,0,,16,301,913,2303
294,آپان گرمو,0,,16,301,913,1759
295,آپک بهاء الدین,0,,16,148,659,503
296,آپک چوشان,0,,16,402,544,2191
297,آپک سیاهان,0,,16,148,659,2028
298,آت دره سی,0,,2,398,64,20
299,آتابلاغی,0,,2,88,366,27
300,آتان,0,,18,312,278,177
301,آتان رود,0,,18,312,278,177
302,آتباتان,0,,1,71,802,2374
303,آترانمار,0,,25,281,215,889
304,آتش انبار,0,,18,110,226,167
305,آتش سرا,0,,25,368,39,2190
306,آتشکده سیاه گل,0,,6,53,303,1970
307,آتشکوه,0,,28,374,786,293
308,آتشگاه,0,,25,204,577,496
309,آتشگاه شهید مرادی,0,,23,367,938,1668
310,آتشگی,0,,25,252,264,1144
311,آثار باستانی زیویه,0,,20,242,316,2132
312,آثار باستانی قلعه طور,0,,20,96,470,1919
313,آثارتاریخی تنگاب,0,,17,304,862,91
314,آج بیشه,0,,25,204,577,835
315,آجر زرنما ( خبیری),0,,31,401,715,1578
316,آجر ماشینی هویزه,0,,13,432,849,2580
317,آجربنابان,0,,4,66,206,1517
318,آجربند,0,,18,312,751,170
319,آجرپزی ایران/علی آباد2,0,,3,20,740,310
320,آجرلو,0,,30,290,130,536
321,آجرماشینی شیخ زاده,0,,2,245,606,1995
322,آجی بوزایه,0,,25,204,551,2128
323,آجی چای,0,,20,311,342,1831
324,آچه,0,,25,212,272,1187
325,آچی دره,0,,2,391,234,1896
326,آختاخانه,0,,2,245,606,2216
327,آخکند,0,,20,242,669,1364
328,آخکند,0,,20,192,673,1790
329,آخوند زاده,0,,16,433,978,688
330,آخوند محله,0,,25,368,581,1149
331,آخوندملک,0,,25,212,272,1187
332,آخی جان,0,,2,261,477,774
333,آخی کمال,0,,20,188,676,259
334,آدار,0,,18,15,953,826
335,آدرامند,0,,28,219,224,1094
336,آدشته,1,3261,28,163,441,618
337,آدم آباد,0,,16,233,121,2354
338,آدوری,0,,21,289,970,1968
339,آده,0,,2,410,565,178
340,آده بزرگ,0,,2,26,1029,1661
341,آدی یامان,0,,2,166,607,1136
342,آدینان,0,,20,242,316,1612
343,آدینه مسجدبالا,0,,28,259,297,1259
344,آدینه مسجدپایین,0,,28,259,297,1259
345,آذرآباد,0,,16,182,163,653
346,آذرچه,0,,25,252,586,590
347,آذرخواران(حبیب آباد),1,5680,4,37,155,628
348,آراسنج جدید,1,3885,18,86,749,1311
349,آراسنج قدیم,0,,18,86,749,1311
350,آراقلعه,0,,28,227,1041,443
351,آراقویی,0,,24,359,243,82
352,آرام,0,,13,45,847,1555
353,آرامکان,0,,16,233,329,1379
354,آران,0,,23,89,466,755
355,آرپاچایی,0,,2,118,136,89
356,آرپادره,0,,30,202,336,1396
357,آرپادره سی,0,,1,386,558,2237
358,آرپالیخ,0,,2,268,442,1811
359,آرتیمان,1,4017,30,121,915,893
360,آرجان,0,,4,354,895,650
361,آرخاشان (ارخشان),0,,2,138,252,63
362,آرزومند,0,,28,292,237,572
363,آرشت,0,,18,312,508,254
364,آرمتلو,0,,14,49,211,245
365,آرنجپا,0,,25,369,373,1525
366,آرند,0,,4,405,897,2047
367,آرندان,1,5875,20,249,670,32
368,آرو,1,5117,8,184,732,74
369,آروچان,0,,18,15,6,18
370,آرونقاش,0,,18,110,408,1085
371,آریا آباد,0,,31,16,716,1731
372,آریا دشت - مزرعه مهابادی,0,,4,21,1013,2117
373,آریان,0,,20,240,675,488
374,آزاتی,0,,16,233,664,645
375,آزاد,0,,2,391,610,2328
376,آزاد بخت‌ کره ‌پا بالا,0,,26,341,931,2025
377,آزاد بخت‌ کره ‌پا پایین,0,,26,341,931,2025
378,آزاد رود,0,,18,312,278,176
379,آزاد مرزآباد,0,,28,19,779,2316
380,آزاد ویس سفلی,0,,20,96,470,1919
381,آزاد ویس علیا,0,,20,96,470,1919
382,آزادآباد پیر دوستی,0,,26,181,461,241
383,آزادان,0,,4,354,895,1996
384,آزادخان,0,,26,143,190,564
385,آزادده,0,,18,110,408,1085
386,آزادده,0,,18,312,508,255
387,آزادی,0,,13,178,835,886
388,آزادی(دیوانه),0,,16,424,910,2272
389,آزاربن سفلی,0,,25,42,269,1534
390,آزاربن علیا,0,,25,42,269,1534
391,آزارستان,0,,25,364,582,67
392,آزارستانک,0,,25,252,264,1144
393,آزارستانکی,0,,25,364,582,67
394,آزارکی,0,,25,212,272,1187
395,آزانبار,0,,18,15,953,826
396,آزباغ,0,,16,420,547,2197
397,آسان کوک,0,,16,51,81,356
398,آساوله,1,6674,20,249,670,854
399,آساوله,0,,20,324,1008,1463
400,آسایشگاه مهر,0,,2,26,604,374
401,آستانه,0,,15,172,705,1221
402,آسته سر,0,,25,206,585,974
403,آستین در سردشت,0,,18,312,508,255
404,آستین در سفلی,0,,18,312,508,255
405,آستین در علیا,0,,18,312,508,255
406,آستین در وسطی,0,,18,312,508,255
407,آسفستان,0,,18,312,508,255
408,آسفیج,1,4184,31,90,9,41
409,آسمان بلاغی,0,,2,118,615,218
410,آسمان دره,0,,20,324,1008,204
411,آسمانجرد,0,,17,133,232,2130
412,آسمانک,0,,7,180,699,2293
413,آسن آباد,0,,2,36,1031,158
414,آسن آباد,0,,20,380,219,907
415,آسو,0,,25,252,586,590
416,آسیاب,0,,13,381,420,1704
417,آسیاب,0,,13,43,842,43
418,آسیاب آباد,0,,16,233,329,1411
419,آسیاب برک,0,,18,312,508,255
420,آسیاب پرویزی,0,,17,321,863,383
421,آسیاب جوب,0,,20,188,676,877
422,آسیاب دره,0,,25,212,272,155
423,آسیاب دوسنگی محمدآباد,0,,31,401,715,1578
424,آسیاب سر,0,,25,252,264,534
425,آسیاب شکسته,0,,13,381,530,571
426,آسیاب شم,0,,25,281,30,917
427,آسیاب فیخار,0,,15,172,47,1874
428,آسیاب مظفر,0,,7,190,3,1414
429,آسیابر,0,,25,252,264,1144
430,آسیابرک,0,,25,210,240,967
431,آسیابرک,0,,25,252,264,1144
432,آسیابسر,0,,25,277,579,1645
433,آسیابسران,0,,25,42,269,1534
434,آسیابک بند,0,,28,227,784,2489
435,آسیان,0,,18,15,6,18
436,آسینگران,0,,2,26,406,331
437,آش کلان,0,,2,88,613,24
438,آش محله,0,,27,119,225,1476
439,آشاق قلعه,0,,30,385,176,558
440,آشتجین,0,,18,110,750,1783
441,آشتی بلاغ,0,,2,261,477,774
442,آشنا آباد,0,,2,26,604,1240
443,آشناخور,0,,28,160,782,46
444,آشنستان,1,3196,18,312,751,169
445,آشور,0,,7,120,697,236
446,آشور محمدی,0,,24,332,131,1262
447,آشورآباد,0,,24,115,360,1808
448,آشی,0,,7,120,697,236
449,آشیان,0,,25,368,39,163
450,آشیانک,0,,28,227,784,1530
451,آشیانه سفلی,0,,28,160,782,829
452,آشیانه علیا,0,,28,160,782,829
453,آشیک,0,,2,26,364,560
454,آصف آباد,0,,20,311,671,324
455,آغ اتلوق,0,,2,107,618,1301
456,آغ باش,0,,2,166,403,1435
457,آغ بد گدوک,0,,3,382,25,110
458,آغ سقل,0,,2,26,406,1633
459,آغ گل,0,,2,370,609,1805
460,آغ یازی,0,,20,96,470,1919
461,آغاج,0,,30,290,130,536
462,آغاجاری,0,,2,261,614,2577
463,آغاسور,0,,2,391,234,2348
464,آغاسی,0,,25,281,475,943
465,آغاسی,0,,25,281,215,889
466,آغبلاغ,0,,1,71,802,2373
467,آغبلاغ,0,,2,398,64,21
468,آغبلاغ,0,,2,138,252,64
469,آغبلاغ ابوبکر,0,,2,138,252,63
470,آغبلاغ چمنلو,0,,2,370,609,1846
471,آغبلاغ حسین خان,0,,20,96,668,1509
472,آغبلاغ خالد,0,,2,138,252,63
473,آغبلاغ سفلی,0,,2,166,403,1435
474,آغبلاغ سوگار,0,,2,268,620,1812
475,آغبلاغ طغامین,0,,20,96,470,1659
476,آغبلاغ علی اکبر خان,0,,20,96,668,1484
477,آغبلاغ علیا,0,,2,166,403,1435
478,آغبلاغ علیا,0,,2,118,136,754
479,آغبلاغ مخور,0,,2,268,442,735
480,آغبلاغ همدانی,0,,2,118,136,754
481,آغبلاغ(کانی سفید),0,,2,245,606,1995
482,آغجه سیدان,0,,30,429,918,1461
483,آغجیوان,0,,2,88,366,436
484,آغچه,1,5733,4,84,908,2600
485,آغچه بلاغ,0,,28,259,330,2569
486,آغچه خرابه,0,,30,202,922,918
487,آغچه قلعه,0,,2,26,604,374
488,آغچه کهل,0,,1,376,328,1374
489,آغچه گنبد,0,,20,96,470,2110
490,آغچه لو,0,,2,261,477,1945
491,آغچه لوی جدید,0,,2,261,477,1945
492,آغچه مسجد,0,,2,261,477,1945
493,آغداش,0,,2,138,617,318
494,آغدوز,0,,2,138,617,709
495,آغدونلو,0,,2,268,620,1812
496,آغدیزج,0,,2,138,617,709
497,آغذی گنگ,0,,28,219,787,828
498,آغکند,0,,20,96,470,1659
499,آغکند سفلی,0,,20,96,197,262
500,آغکند علیا,0,,20,96,197,262
501,آغل,0,,31,401,1032,1625
502,آغل آشتیان,0,,31,116,712,1127
503,آغل اکبرسلطانی,0,,28,219,787,1237
504,آغل چگنه,0,,28,219,787,1237
505,آغل دره,0,,4,366,68,751
506,آغل عزبلو,0,,28,219,787,1237
507,آغل گود بونگا,0,,31,401,1032,2454
508,آغل های گل سرخ,0,,28,219,787,1237
509,آغلان,0,,2,238,1054,2338
510,آغلهای اولیا,0,,28,219,787,1237
511,آغلهای چهاراغلی,0,,28,219,787,1237
512,آغلیان,0,,2,88,366,27
513,آغوتمان,0,,2,88,613,253
514,آغورکش,0,,27,224,593,2283
515,آغوزان,0,,2,138,617,709
516,آغوزبن,0,,25,210,578,1974
517,آغوزبن,0,,25,252,586,590
518,آغوزبن کندسر,0,,25,212,272,155
519,آغوزچال,0,,25,368,39,2190
520,آغوزچال,0,,25,252,586,590
521,آغوزچکه,0,,25,252,586,914
522,آغوزکله,0,,25,212,272,156
523,آغوزکله,0,,25,302,335,1394
524,آغوزی,0,,25,42,269,1912
525,آغوزی,0,,25,252,264,1144
526,آفان,0,,2,391,234,2348
527,آفتاب خورتاب,0,,25,42,584,201
528,آفتاب_ سعید آباد آهنچی,0,,8,122,12,49
529,آفتابدر,0,,18,312,278,176
530,آفتابرو,0,,28,219,224,186
531,آفریان سفلی,0,,20,324,674,1327
532,آفریان علیا,0,,20,324,674,1327
533,آق آباد,1,3091,24,359,759,51
534,آق اطاق,0,,2,118,136,89
535,آق امام,1,3450,24,377,532,1557
536,آق اولر,0,,25,281,575,2051
537,آق بلاغ,0,,28,219,224,1094
538,آق بلاغ,0,,20,192,317,1335
539,آق بلاغ,0,,20,192,317,2019
540,آق بلاغ,0,,30,29,920,775
541,آق بلاغ فرج بیک,0,,28,259,330,2569
542,آق بلاغ محمدحسین خان,0,,28,259,330,2254
543,آق بلاغ میدان,0,,2,138,617,709
544,آق بند,0,,24,359,243,82
545,آق تپه,0,,2,261,614,2277
546,آق تپه,0,,20,242,669,1364
547,آق تپه,0,,30,429,918,2153
548,آق تپه,1,5944,30,325,919,1174
549,آق تقه,0,,24,377,532,2150
550,آق تقه,0,,24,377,532,1557
551,آق تقه جدید,0,,24,377,992,2284
552,آق توپراق,0,,2,166,403,1435
553,آق چاتال,0,,24,377,532,1557
554,آق چای,0,,30,202,922,918
555,آق چشمه,0,,4,247,1053,1023
556,آق چشمه,0,,24,377,992,487
557,آق داش,0,,2,398,569,2287
558,آق داش,0,,30,325,919,2059
559,آق دره,0,,30,429,381,693
560,آق دوز,0,,18,312,508,255
561,آق زیارت(آغ زیارت),0,,2,245,606,1995
562,آق قلعه,0,,28,227,1041,2034
563,آق قلعه,0,,2,118,615,218
564,آق قلعه,0,,24,377,992,487
565,آق قویی,0,,28,219,224,186
566,آق قویی,0,,14,151,41,1828
567,آق قیه,0,,14,49,211,245
568,آق قیه,1,4552,24,359,759,1441
569,آق کند,0,,2,398,64,20
570,آق کند,0,,20,311,204,777
571,آق کهریز,0,,28,227,1041,55
572,آق کهریز,0,,30,91,399,1615
573,آق مسجد,0,,25,9,572,892
574,آق مسجد,0,,25,206,124,2601
575,آق یاجی,0,,24,332,131,1262
576,آقا بلاغ,0,,4,295,310,1799
577,آقا بیگ,0,,2,118,615,1927
578,آقا چشمه,0,,17,154,1002,1589
579,آقا چشمه,0,,17,154,871,1823
580,آقا زیارت,0,,28,292,790,1743
581,آقا مراد,0,,20,96,668,853
582,آقا میراحمد,0,,7,179,26,1124
583,آقاآباد,0,,4,405,897,2211
584,آقابابا,0,,18,86,251,1064
585,آقابابا,1,4007,18,312,508,254
586,آقاباباشیراوند / شیراوند بالا,0,,26,341,245,1003
587,آقابزرگ,0,,13,46,42,1878
588,آقابگی,0,,13,267,1018,2385
589,آقابلاغ آسیان,0,,18,15,6,18
590,آقاجان بلاغی,0,,30,29,920,775
591,آقاجان محله,0,,25,206,585,974
592,آقاجری,0,,20,192,673,855
593,آقاجکندی,0,,28,259,330,2254
594,آقاحساب,0,,4,405,897,2047
595,آقاسیدیعقوب,0,,25,264,583,2334
596,آقاطلا,0,,13,45,191,743
597,آقاعلی سرا,0,,25,368,39,163
598,آقاقلی,0,,13,381,839,689
599,آقاگل,0,,4,84,908,2600
600,آقامحله,0,,25,264,583,695
601,آقامحله بهمبر,0,,25,277,579,1637
602,آقامحمد آباد,0,,27,14,588,2538
603,آقامیر,0,,26,181,461,1889
604,آقانور سه تن,0,,25,264,19,762
605,آقبلاغ,0,,22,248,817,1365
606,آقبلاغ,0,,22,248,817,480
607,آقبلاغ,0,,20,311,204,776
608,آقبلاغ,0,,20,188,676,1864
609,آقبلاغ,0,,30,325,523,2133
610,آقبلاغ,0,,14,49,943,244
611,آقبلاغ,0,,18,110,750,1784
612,آقبلاغ آق داق,0,,30,325,397,1607
613,آقبلاغ چنگ الماس,0,,20,96,197,530
614,آقبلاغ حسن آباد,0,,14,372,53,222
615,آقبلاغ سادات,0,,28,259,330,2569
616,آقبلاغ لتگاه,0,,30,91,548,2365
617,آقبلاغ مرشد,0,,30,325,523,2375
618,آقچری,0,,18,4,752,1314
619,آقچلو,0,,30,325,919,1393
620,آقچلی سفلی,0,,24,359,759,1441
621,آقْچِه آغاچْلی,0,,24,377,532,2150
622,آقچه خرابه,0,,30,202,336,1396
623,آقچه دام,0,,18,15,6,920
624,آقچه قلعه,0,,28,227,1041,443
625,آقچه قلعه,0,,18,15,6,18
626,آقچه قنات,0,,17,154,871,1823
627,آقچه قیه,0,,30,325,523,1701
628,آقچه قیه,0,,18,110,226,167
629,آقچه کند,0,,18,110,750,1783
630,آقچه کهریز,0,,28,334,1024,2425
631,آقچه لوچه,0,,30,202,336,1396
632,آقچه مزار,0,,18,86,749,1311
633,آقداش,0,,28,227,1041,2034
634,آقداش,1,3265,28,163,441,1457
635,آقداش,0,,30,429,918,1461
636,آقدره,0,,18,312,409,956
637,آقدره سفلی,0,,2,118,136,89
638,آقدره علیا,0,,2,118,136,89
639,آقدره وسطی,0,,2,118,136,89
640,آقکندباروق,0,,2,398,64,271
641,آقگل,0,,28,227,1041,443
